Threads,Schedule,Chunk,Construct,Cache,Runtime
1,static,50,reduction,default,1.468127
1,static,50,critical,default,1.717987
2,static,50,reduction,default,1.890152
2,static,50,critical,default,3.478681
3,static,50,reduction,default,2.169442
3,static,50,critical,default,5.189589
4,static,50,reduction,default,1.965574
4,static,50,critical,default,5.49051
5,static,50,reduction,default,1.611279
5,static,50,critical,default,6.794201
6,static,50,reduction,default,1.227106
6,static,50,critical,default,6.049208
7,static,50,reduction,default,1.187157
7,static,50,critical,default,5.888392
8,static,50,reduction,default,1.002709
8,static,50,critical,default,5.666837
9,static,50,reduction,default,1.111112
9,static,50,critical,default,6.264118
10,static,50,reduction,default,1.165416
10,static,50,critical,default,6.619681
11,static,50,reduction,default,1.230834
11,static,50,critical,default,7.213641
12,static,50,reduction,default,1.354905
12,static,50,critical,default,7.077968
13,static,50,reduction,default,1.338482
13,static,50,critical,default,7.740209
14,static,50,reduction,default,1.375815
14,static,50,critical,default,7.68328
15,static,50,reduction,default,1.494873
15,static,50,critical,default,9.548723
16,static,50,reduction,default,1.457231
16,static,50,critical,default,8.893627
32,static,50,reduction,default,0.993444
32,static,50,critical,default,14.732587
64,static,50,reduction,default,0.492955
64,static,50,critical,default,22.677445
128,static,50,reduction,default,0.289948
128,static,50,critical,default,23.316481
256,static,50,reduction,default,0.659304
256,static,50,critical,default,19.535473
512,static,50,reduction,default,0.196719
512,static,50,critical,default,8.830059
1024,static,50,reduction,default,0.21075
1024,static,50,critical,default,9.141559
2048,static,50,reduction,default,0.344427
2048,static,50,critical,default,9.28066
4096,static,50,reduction,default,0.575428
4096,static,50,critical,default,9.701907
8192,static,50,reduction,default,1.617342
8192,static,50,critical,default,10.684595
16384,static,50,reduction,default,1.420289
16384,static,50,critical,default,10.988197
